iter	Passed	Remaining
755	3662	1182
756	3667	1177
757	3671	1172
758	3676	1167
759	3680	1162
760	3685	1157
761	3689	1152
762	3693	1147
763	3699	1142
764	3703	1137
765	3708	1132
766	3712	1127
767	3717	1122
768	3721	1117
769	3726	1113
770	3731	1108
771	3735	1103
772	3740	1098
773	3745	1093
774	3749	1088
775	3754	1083
776	3758	1078
777	3764	1074
778	3768	1069
779	3773	1064
780	3777	1059
781	3782	1054
782	3786	1049
783	3790	1044
784	3795	1039
785	3800	1034
786	3805	1029
787	3809	1024
788	3814	1020
789	3818	1015
790	3822	1010
791	3828	1005
792	3832	1000
793	3837	995
794	3841	990
795	3846	985
796	3850	980
797	3855	975
798	3860	971
799	3865	966
800	3869	961
801	3874	956
802	3878	951
803	3882	946
804	3887	941
805	3892	936
806	3896	931
807	3901	927
808	3906	922
809	3910	917
810	3914	912
811	3919	907
812	3923	902
813	3928	897
814	3933	892
815	3938	888
816	3943	883
817	3947	878
818	3952	873
819	3957	868
820	3961	863
821	3966	859
822	3971	854
823	3976	849
824	3980	844
825	3985	839
826	3989	834
827	3994	829
828	4000	825
829	4005	820
830	4009	815
831	4014	810
832	4018	805
833	4023	800
834	4027	795
835	4032	791
836	4036	786
837	4040	781
838	4045	776
839	4049	771
840	4054	766
841	4059	761
842	4064	756
843	4068	752
844	4073	747
845	4078	742
846	4082	737
847	4087	732
848	4092	727
849	4097	723
850	4101	718
851	4106	713
852	4110	708
853	4115	703
854	4119	698
855	4124	693
856	4128	688
857	4133	684
858	4138	679
859	4143	674
860	4147	669
861	4152	664
862	4156	659
863	4162	655
864	4167	650
865	4171	645
866	4176	640
867	4181	635
868	4186	631
869	4190	626
870	4194	621
871	4199	616
872	4203	611
873	4208	606
874	4212	601
875	4217	596
876	4221	592
877	4225	587
878	4229	582
879	4234	577
880	4239	572
881	4243	567
882	4248	562
883	4253	558
884	4257	553
885	4262	548
886	4267	543
887	4271	538
888	4275	533
889	4280	529
890	4285	524
891	4290	519
892	4294	514
893	4299	509
894	4304	504
895	4308	500
896	4313	495
897	4317	490
898	4322	485
899	4326	480
900	4331	475
901	4335	471
902	4340	466
903	4345	461
904	4349	456
905	4354	451
906	4359	446
907	4364	442
908	4368	437
909	4373	432
910	4378	427
911	4383	422
912	4388	418
913	4393	413
914	4398	408
915	4403	403
916	4407	398
917	4412	394
918	4417	389
919	4421	384
920	4425	379
921	4429	374
922	4434	369
923	4439	365
924	4444	360
925	4448	355
926	4453	350
927	4457	345
928	4461	341
929	4466	336
930	4470	331
931	4476	326
932	4481	321
933	4486	317
934	4491	312
935	4495	307
936	4500	302
937	4504	297
938	4509	292
939	4513	288
940	4518	283
941	4522	278
942	4527	273
943	4532	268
944	4537	264
945	4541	259
946	4546	254
947	4551	249
948	4555	244
949	4559	239
950	4564	235
951	4569	230
952	4574	225
953	4578	220
954	4584	216
955	4589	211
956	4593	206
957	4597	201
958	4602	196
